101,1001,25
101,1002,69
101,1003,29
101,1004,53
101,1005,35
101,1006,57
101,1007,93
101,1008,39
101,1009,93
101,1010,33
101,1011,47
101,1012,76
101,1013,32
101,1014,69
101,1015,43
101,1016,80
101,1017,41
101,1018,70
101,1019,74
101,1020,64
102,1001,29
102,1002,62
102,1003,22
102,1004,28
102,1005,80
102,1006,72
102,1007,48
102,1008,17
103,1001,35
103,1002,14
103,1003,28
103,1004,51
103,1005,30
103,1006,72
103,1007,95
103,1008,25
103,1009,44
103,1010,49
103,1011,16
103,1012,37
103,1013,25
103,1014,88
103,1015,76
103,1016,11
103,1017,39
103,1018,22
103,1019,51
103,1020,53
104,1001,18
104,1002,25
104,1003,81
104,1004,65
104,1005,40
104,1006,74
104,1007,29
104,1008,60
104,1009,81
104,1010,93
104,1011,90
104,1012,23
104,1013,84
104,1014,76
104,1015,64
104,1016,39
104,1017,39
104,1018,77
104,1019,85
104,1020,31
